Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
167807,1122619677,G,54.2145,23.3319,-23.2907,-43.0392,32.9671,-1.0818,-0.7845,1,G,40.0216,-24.6919,25.3794,18.6525,35.409,0.505,2.3425,-1,90.9919
167807,1123044816,G,144.121,-26.8185,-25.8897,-139.217,37.2761,-2.0283,-2.3738,-1,G,43.6581,17.4978,31.8523,-24.1925,36.342,-0.6243,1.0685,1,91.8473
167807,1123150112,G,53.9282,8.666,25.7553,46.5811,27.1742,1.308,1.2462,-1,G,58.1815,-8.3154,-57.3641,5.029,57.9636,0.0867,-1.7147,1,94.3702
167807,1124252855,G,81.4144,-50.7358,2.2732,-63.6317,50.7867,-1.0494,3.0968,1,G,60.2776,34.8068,25.7206,-41.9561,43.2789,-0.8596,0.6364,-1,88.8281
167807,1124281519,G,97.2377,43.15,-13.9443,86.0162,45.3472,1.3965,-0.3126,1,G,70.9252,-37.0191,22.0699,56.3283,43.0987,1.0827,2.604,-1,88.956
167807,1123697376,G,113.511,-8.9516,44.0173,104.246,44.9183,1.5785,1.7714,1,G,70.9797,27.0477,-34.9433,55.5473,44.1883,1.052,-0.9121,-1,89.9631
167807,1124258943,G,130.867,23.9293,-32.8037,124.409,40.6041,1.8385,-0.9406,1,G,37.8292,-17.2449,29.4231,16.3686,34.1043,0.4632,2.1009,-1,92.6506
167807,1123388564,G,75.467,-49.0032,12.2311,56.0744,50.5066,0.9572,2.897,1,G,48.4264,39.8345,-5.5983,26.9625,40.226,0.6281,-0.1396,-1,91.2491
167807,1124778673,G,52.0736,-10.7961,-42.4926,28.0974,43.8426,0.6036,-1.8196,1,G,63.9848,47.3928,29.4549,31.3109,55.8003,0.5352,0.5561,-1,91.8199
167807,1125105462,G,50.2584,-0.7244,-45.9283,-20.3953,45.934,-0.4306,-1.5866,-1,G,49.5073,-3.2646,45.3281,-19.6384,45.4455,-0.4197,1.6427,1,91.2921
